width,height,x_shift,noise_level,laminar_thickness,laminar_gap,amplitude,thickness_variation
256,6,0.25,0.03333333333333333,2,3,2,0.0
256,11,0.25,0.03333333333333333,2,3,2,0.0
256,16,0.25,0.03333333333333333,2,3,2,0.0
256,21,0.25,0.03333333333333333,2,3,2,0.0
256,26,0.25,0.03333333333333333,2,3,2,0.0
256,31,0.25,0.03333333333333333,2,3,2,0.0
256,10,0.25,0.03333333333333333,2,3,4,0.0
256,15,0.25,0.03333333333333333,2,3,4,0.0
256,20,0.25,0.03333333333333333,2,3,4,0.0
256,25,0.25,0.03333333333333333,2,3,4,0.0
256,30,0.25,0.03333333333333333,2,3,4,0.0
256,35,0.25,0.03333333333333333,2,3,4,0.0
256,14,0.25,0.03333333333333333,2,3,6,0.0
256,19,0.25,0.03333333333333333,2,3,6,0.0
256,24,0.25,0.03333333333333333,2,3,6,0.0
256,29,0.25,0.03333333333333333,2,3,6,0.0
256,34,0.25,0.03333333333333333,2,3,6,0.0
256,39,0.25,0.03333333333333333,2,3,6,0.0
256,18,0.25,0.03333333333333333,2,3,8,0.0
256,23,0.25,0.03333333333333333,2,3,8,0.0
256,28,0.25,0.03333333333333333,2,3,8,0.0
256,33,0.25,0.03333333333333333,2,3,8,0.0
256,38,0.25,0.03333333333333333,2,3,8,0.0
256,43,0.25,0.03333333333333333,2,3,8,0.0
256,22,0.25,0.03333333333333333,2,3,10,0.0
256,27,0.25,0.03333333333333333,2,3,10,0.0
256,32,0.25,0.03333333333333333,2,3,10,0.0
256,37,0.25,0.03333333333333333,2,3,10,0.0
256,42,0.25,0.03333333333333333,2,3,10,0.0
256,47,0.25,0.03333333333333333,2,3,10,0.0
256,26,0.25,0.03333333333333333,2,3,12,0.0
256,31,0.25,0.03333333333333333,2,3,12,0.0
256,36,0.25,0.03333333333333333,2,3,12,0.0
256,41,0.25,0.03333333333333333,2,3,12,0.0
256,46,0.25,0.03333333333333333,2,3,12,0.0
256,51,0.25,0.03333333333333333,2,3,12,0.0
256,30,0.25,0.03333333333333333,2,3,14,0.0
256,35,0.25,0.03333333333333333,2,3,14,0.0
256,40,0.25,0.03333333333333333,2,3,14,0.0
256,45,0.25,0.03333333333333333,2,3,14,0.0
256,50,0.25,0.03333333333333333,2,3,14,0.0
256,55,0.25,0.03333333333333333,2,3,14,0.0
256,34,0.25,0.03333333333333333,2,3,16,0.0
256,39,0.25,0.03333333333333333,2,3,16,0.0
256,44,0.25,0.03333333333333333,2,3,16,0.0
256,49,0.25,0.03333333333333333,2,3,16,0.0
256,54,0.25,0.03333333333333333,2,3,16,0.0
256,59,0.25,0.03333333333333333,2,3,16,0.0
256,38,0.25,0.03333333333333333,2,3,18,0.0
256,43,0.25,0.03333333333333333,2,3,18,0.0
256,48,0.25,0.03333333333333333,2,3,18,0.0
256,53,0.25,0.03333333333333333,2,3,18,0.0
256,58,0.25,0.03333333333333333,2,3,18,0.0
256,63,0.25,0.03333333333333333,2,3,18,0.0
256,42,0.25,0.03333333333333333,2,3,20,0.0
256,47,0.25,0.03333333333333333,2,3,20,0.0
256,52,0.25,0.03333333333333333,2,3,20,0.0
256,57,0.25,0.03333333333333333,2,3,20,0.0
256,62,0.25,0.03333333333333333,2,3,20,0.0
256,67,0.25,0.03333333333333333,2,3,20,0.0
256,7,0.25,0.05,3,4,2,0.0
256,14,0.25,0.05,3,4,2,0.0
256,21,0.25,0.05,3,4,2,0.0
256,28,0.25,0.05,3,4,2,0.0
256,35,0.25,0.05,3,4,2,0.0
256,42,0.25,0.05,3,4,2,0.0
256,11,0.25,0.05,3,4,4,0.0
256,18,0.25,0.05,3,4,4,0.0
256,25,0.25,0.05,3,4,4,0.0
256,32,0.25,0.05,3,4,4,0.0
256,39,0.25,0.05,3,4,4,0.0
256,46,0.25,0.05,3,4,4,0.0
256,15,0.25,0.05,3,4,6,0.0
256,22,0.25,0.05,3,4,6,0.0
256,29,0.25,0.05,3,4,6,0.0
256,36,0.25,0.05,3,4,6,0.0
256,43,0.25,0.05,3,4,6,0.0
256,50,0.25,0.05,3,4,6,0.0
256,19,0.25,0.05,3,4,8,0.0
256,26,0.25,0.05,3,4,8,0.0
256,33,0.25,0.05,3,4,8,0.0
256,40,0.25,0.05,3,4,8,0.0
256,47,0.25,0.05,3,4,8,0.0
256,54,0.25,0.05,3,4,8,0.0
256,23,0.25,0.05,3,4,10,0.0
256,30,0.25,0.05,3,4,10,0.0
256,37,0.25,0.05,3,4,10,0.0
256,44,0.25,0.05,3,4,10,0.0
256,51,0.25,0.05,3,4,10,0.0
256,58,0.25,0.05,3,4,10,0.0
256,27,0.25,0.05,3,4,12,0.0
256,34,0.25,0.05,3,4,12,0.0
256,41,0.25,0.05,3,4,12,0.0
256,48,0.25,0.05,3,4,12,0.0
256,55,0.25,0.05,3,4,12,0.0
256,62,0.25,0.05,3,4,12,0.0
256,31,0.25,0.05,3,4,14,0.0
256,38,0.25,0.05,3,4,14,0.0
256,45,0.25,0.05,3,4,14,0.0
256,52,0.25,0.05,3,4,14,0.0
256,59,0.25,0.05,3,4,14,0.0
256,66,0.25,0.05,3,4,14,0.0
256,35,0.25,0.05,3,4,16,0.0
256,42,0.25,0.05,3,4,16,0.0
256,49,0.25,0.05,3,4,16,0.0
256,56,0.25,0.05,3,4,16,0.0
256,63,0.25,0.05,3,4,16,0.0
256,70,0.25,0.05,3,4,16,0.0
256,39,0.25,0.05,3,4,18,0.0
256,46,0.25,0.05,3,4,18,0.0
256,53,0.25,0.05,3,4,18,0.0
256,60,0.25,0.05,3,4,18,0.0
256,67,0.25,0.05,3,4,18,0.0
256,74,0.25,0.05,3,4,18,0.0
256,43,0.25,0.05,3,4,20,0.0
256,50,0.25,0.05,3,4,20,0.0
256,57,0.25,0.05,3,4,20,0.0
256,64,0.25,0.05,3,4,20,0.0
256,71,0.25,0.05,3,4,20,0.0
256,78,0.25,0.05,3,4,20,0.0
256,8,0.25,0.06666666666666667,4,5,2,0.0
256,17,0.25,0.06666666666666667,4,5,2,0.0
256,26,0.25,0.06666666666666667,4,5,2,0.0
256,35,0.25,0.06666666666666667,4,5,2,0.0
256,44,0.25,0.06666666666666667,4,5,2,0.0
256,53,0.25,0.06666666666666667,4,5,2,0.0
256,12,0.25,0.06666666666666667,4,5,4,0.0
256,21,0.25,0.06666666666666667,4,5,4,0.0
256,30,0.25,0.06666666666666667,4,5,4,0.0
256,39,0.25,0.06666666666666667,4,5,4,0.0
256,48,0.25,0.06666666666666667,4,5,4,0.0
256,57,0.25,0.06666666666666667,4,5,4,0.0
256,16,0.25,0.06666666666666667,4,5,6,0.0
256,25,0.25,0.06666666666666667,4,5,6,0.0
256,34,0.25,0.06666666666666667,4,5,6,0.0
256,43,0.25,0.06666666666666667,4,5,6,0.0
256,52,0.25,0.06666666666666667,4,5,6,0.0
256,61,0.25,0.06666666666666667,4,5,6,0.0
256,20,0.25,0.06666666666666667,4,5,8,0.0
256,29,0.25,0.06666666666666667,4,5,8,0.0
256,38,0.25,0.06666666666666667,4,5,8,0.0
256,47,0.25,0.06666666666666667,4,5,8,0.0
256,56,0.25,0.06666666666666667,4,5,8,0.0
256,65,0.25,0.06666666666666667,4,5,8,0.0
256,24,0.25,0.06666666666666667,4,5,10,0.0
256,33,0.25,0.06666666666666667,4,5,10,0.0
256,42,0.25,0.06666666666666667,4,5,10,0.0
256,51,0.25,0.06666666666666667,4,5,10,0.0
256,60,0.25,0.06666666666666667,4,5,10,0.0
256,69,0.25,0.06666666666666667,4,5,10,0.0
256,28,0.25,0.06666666666666667,4,5,12,0.0
256,37,0.25,0.06666666666666667,4,5,12,0.0
